link,price,title,location,post-date,bedrooms,bathrooms,receptions,type,postcode
https://www.zoopla.co.uk//to-rent/details/60226522/,1000,3 bed semi-detached house to rent,"Ascot Road, Birmingham 9Pb B13",Listed on 19th Nov 2021,3.0,1.0,,semi-detached house,B13
https://www.zoopla.co.uk//to-rent/details/52957756/,1100,2 bed flat to rent,"Dayus House, Tenby Street South, Jewellery Quarter B1",Listed on 18th Nov 2021,2.0,1.0,1.0,flat,B1
https://www.zoopla.co.uk//to-rent/details/51205674/,1595,3 bed terraced house to rent,"Ravenhurst Road, Harborne, Birmingham B17",Listed on 18th Nov 2021,3.0,,,terraced house,B17
https://www.zoopla.co.uk//to-rent/details/53578302/,750,1 bed flat to rent,"Albion House, Pope Street, Jewellery Quarter B1",Listed on 18th Nov 2021,1.0,1.0,1.0,flat,B1
https://www.zoopla.co.uk//to-rent/details/60225772/,875,3 bed property to rent,"Tyndale Crescent, Birmingham B43",Listed on 18th Nov 2021,3.0,1.0,1.0,property,B43
https://www.zoopla.co.uk//to-rent/details/57288364/,800,1 bed flat to rent,"299 Pershore Road South, Birmingham B30",Listed on 18th Nov 2021,1.0,1.0,1.0,flat,B30
https://www.zoopla.co.uk//to-rent/details/52649306/,675,1 bed flat to rent,"8 Clement Street, Birmingham B1",Listed on 18th Nov 2021,1.0,1.0,1.0,flat,B1
https://www.zoopla.co.uk//to-rent/details/55408818/,825,1 bed flat to rent,"2 Masshouse Plaza, Birmingham B5",Listed on 18th Nov 2021,1.0,1.0,1.0,flat,B5
https://www.zoopla.co.uk//to-rent/details/57449410/,525,1 bed flat to rent,"Watford Road, Kings Norton, Birmingham B30",Listed on 18th Nov 2021,1.0,1.0,1.0,flat,B30
https://www.zoopla.co.uk//to-rent/details/60225589/,775,2 bed flat to rent,"Avoca Court, 146 Cheapside B12",Listed on 18th Nov 2021,2.0,1.0,1.0,flat,B12
https://www.zoopla.co.uk//to-rent/details/58771367/,368,3 bed property to rent,"Teignmouth Road, Selly Oak, Birmingham B29",Listed on 18th Nov 2021,3.0,1.0,1.0,property,B29
https://www.zoopla.co.uk//to-rent/details/53699013/,725,2 bed terraced house to rent,"Dormington Road, Great Barr, Birmingham B44",Listed on 18th Nov 2021,2.0,1.0,,terraced house,B44
https://www.zoopla.co.uk//to-rent/details/48914527/,1050,2 bed flat to rent,"Metalworks, Warstone Lane, Jewellery Quarter B18",Listed on 18th Nov 2021,2.0,2.0,1.0,flat,B18
https://www.zoopla.co.uk//to-rent/details/60224753/,800,Studio to rent,"Wavers Marston, Marston Green, Birmingham B37",Listed on 18th Nov 2021,1.0,,,studio,B37
https://www.zoopla.co.uk//to-rent/details/60224573/,800,2 bed flat to rent,"Navigation Way, Hockley, Birmingham B18",Listed on 18th Nov 2021,2.0,1.0,1.0,flat,B18
https://www.zoopla.co.uk//to-rent/details/60224483/,1100,2 bed flat to rent,"Heritage Court, Warstone Lane, Jewellery Quarter B18",Listed on 18th Nov 2021,2.0,2.0,1.0,flat,B18
https://www.zoopla.co.uk//to-rent/details/60224195/,550,5 bed semi-detached house to rent,"503 Harborne Park Road, Harborne, Birmingham B17",Listed on 18th Nov 2021,5.0,2.0,1.0,semi-detached house,B17
https://www.zoopla.co.uk//to-rent/details/60224135/,950,3 bed terraced house to rent,"Carmodale Avenue, Great Barr, Birmingham B42",Listed on 18th Nov 2021,3.0,1.0,1.0,terraced house,B42
https://www.zoopla.co.uk//to-rent/details/60224103/,1100,2 bed flat to rent,"Hagley Road, Edgbaston, Birmingham B16",Listed on 18th Nov 2021,2.0,,,flat,B16
https://www.zoopla.co.uk//to-rent/details/60224065/,1100,3 bed property to rent,"Mill Lane, Quinton, Birmingham B32",Listed on 18th Nov 2021,3.0,,,property,B32
https://www.zoopla.co.uk//to-rent/details/59452137/,1605,2 bed flat to rent,"Landrow Place, 86 Lionel Street, Birmingham B3",Listed on 18th Nov 2021,2.0,1.0,,flat,B3
https://www.zoopla.co.uk//to-rent/details/60223967/,1100,2 bed terraced house to rent,"York Street, Harborne, Birmingham B17",Listed on 18th Nov 2021,2.0,1.0,1.0,terraced house,B17
https://www.zoopla.co.uk//to-rent/details/60223948/,1200,2 bed flat to rent,"The Bank Tower 2, Sheepcote Street, Birmingham B16",Listed on 18th Nov 2021,2.0,2.0,1.0,flat,B16
https://www.zoopla.co.uk//to-rent/details/60223705/,1200,2 bed flat to rent,"Mason Way, Edgbaston, Birmingham B15",Listed on 18th Nov 2021,2.0,2.0,1.0,flat,B15
https://www.zoopla.co.uk//to-rent/details/60223657/,750,2 bed terraced house to rent,"Blandford Road, Quinton B32",Listed on 18th Nov 2021,2.0,1.0,1.0,terraced house,B32
https://www.zoopla.co.uk//to-rent/details/60223545/,1200,3 bed property to rent,"Acacia Road, Birmingham, West Midlands B30",Listed on 18th Nov 2021,3.0,1.0,2.0,property,B30
https://www.zoopla.co.uk//to-rent/details/55310209/,1100,2 bed flat to rent,"Longleat Avenue, Edgbaston, Birmingham B15",Listed on 18th Nov 2021,2.0,,,flat,B15
https://www.zoopla.co.uk//to-rent/details/60223456/,1026,1 bed flat to rent,"The Priory Queensway, Birmingham B4",Listed on 18th Nov 2021,1.0,,,flat,B4
https://www.zoopla.co.uk//to-rent/details/60223272/,625,1 bed maisonette to rent,"Greenwood Avanue, Acocks Green B27",Listed on 18th Nov 2021,1.0,1.0,1.0,maisonette,B27
https://www.zoopla.co.uk//to-rent/details/49532251/,675,2 bed flat to rent,"Cheswood Drive, Walmley, Sutton Coldfield B76",Listed on 18th Nov 2021,2.0,1.0,1.0,flat,B76
https://www.zoopla.co.uk//to-rent/details/60223168/,750,3 bed terraced house to rent,"Barford Road, Edgbaston B16",Listed on 18th Nov 2021,3.0,1.0,2.0,terraced house,B16
https://www.zoopla.co.uk//to-rent/details/60223107/,525,1 bed flat to rent,"Slade Road, Erdington, Birmingham B23",Listed on 18th Nov 2021,1.0,1.0,1.0,flat,B23
https://www.zoopla.co.uk//to-rent/details/60223064/,100,Parking/garage to rent,"Parking Space, Broadway Residences, 105 Broad Street, Birmingham B15",Listed on 18th Nov 2021,,,,parking/garage,B15
https://www.zoopla.co.uk//to-rent/details/60222957/,425,2 bed flat to rent,"Sorrell Drive, Hazelwood Road, Acocks Green, Birmingham B27",Listed on 18th Nov 2021,2.0,1.0,1.0,flat,B27
https://www.zoopla.co.uk//to-rent/details/60222680/,550,1 bed flat to rent,"Chester Road, Sutton Coldfield, Birmingham B73",Listed on 18th Nov 2021,1.0,1.0,1.0,flat,B73
https://www.zoopla.co.uk//to-rent/details/60222452/,850,3 bed end terrace house to rent,"Stratford Walk, Hodge Hill, Birmingham B36",Listed on 18th Nov 2021,3.0,1.0,1.0,end terrace house,B36
https://www.zoopla.co.uk//to-rent/details/60222435/,895,3 bed property to rent,"Lightwoods Road, Bearwood B67",Listed on 18th Nov 2021,3.0,1.0,2.0,property,B67
https://www.zoopla.co.uk//to-rent/details/60222423/,800,3 bed terraced house to rent,"Millhaven Avenue, Stirchley, Birmingham B30",Listed on 18th Nov 2021,3.0,1.0,1.0,terraced house,B30
https://www.zoopla.co.uk//to-rent/details/60222321/,750,1 bed flat to rent,"Dorking Grove, Edgbaston, Birmingham B15",Listed on 18th Nov 2021,1.0,1.0,1.0,flat,B15
https://www.zoopla.co.uk//to-rent/details/58212061/,1200,2 bed flat to rent,"Sheepcote Street, Edgbaston, Birmingham B16",Listed on 18th Nov 2021,2.0,,,flat,B16
https://www.zoopla.co.uk//to-rent/details/60222156/,1300,3 bed end terrace house to rent,"Gaddesby Road, King's Heath, Birmingham B14",Listed on 18th Nov 2021,3.0,2.0,,end terrace house,B14
https://www.zoopla.co.uk//to-rent/details/35616581/,975,3 bed flat to rent,"Bond Street, Hockley, Birmingham B19",Listed on 18th Nov 2021,3.0,2.0,1.0,flat,B19
https://www.zoopla.co.uk//to-rent/details/53319394/,775,2 bed terraced house to rent,"61 Dogpool Lane, Stirchley B30",Listed on 18th Nov 2021,2.0,1.0,2.0,terraced house,B30
https://www.zoopla.co.uk//to-rent/details/60221895/,750,2 bed flat to rent,"Hayfield Road, Birmingham B13",Listed on 18th Nov 2021,2.0,1.0,,flat,B13
https://www.zoopla.co.uk//to-rent/details/60221785/,795,3 bed terraced house to rent,"Waterloo Road, Yardley, Birmingham B25",Listed on 18th Nov 2021,3.0,1.0,2.0,terraced house,B25
https://www.zoopla.co.uk//to-rent/details/60221655/,1107,1 bed flat to rent,"The Priory Queensway, Birmingham B4",Listed on 18th Nov 2021,1.0,,,flat,B4
https://www.zoopla.co.uk//to-rent/details/60221650/,1565,2 bed flat to rent,"The Priory Queensway, Birmingham B4",Listed on 18th Nov 2021,2.0,,,flat,B4
https://www.zoopla.co.uk//to-rent/details/60221635/,750,2 bed flat to rent,"Abacus Building, 1 Warwick Street, Digbeth, Birmingham B12",Listed on 18th Nov 2021,2.0,1.0,1.0,flat,B12
https://www.zoopla.co.uk//to-rent/details/60221316/,1950,5 bed end terrace house to rent,"Student Property 2022-2023, Gibbions Road, Selly Oak, Birmingham B29",Listed on 18th Nov 2021,5.0,1.0,1.0,end terrace house,B29
https://www.zoopla.co.uk//to-rent/details/60221288/,1885,5 bed terraced house to rent,"Pershore Road, Selly Park, Birmingham B29",Listed on 18th Nov 2021,5.0,2.0,1.0,terraced house,B29
https://www.zoopla.co.uk//to-rent/details/60221153/,1885,5 bed terraced house to rent,"Student Property Milner Road Selly Oak, Birmingham B29",Listed on 18th Nov 2021,5.0,2.0,1.0,terraced house,B29
https://www.zoopla.co.uk//to-rent/details/60221084/,3306,7 bed end terrace house to rent,"Ensuite Student Property 2022-2023 Edgbaston, Birmingham B16",Listed on 18th Nov 2021,7.0,7.0,1.0,end terrace house,B16
https://www.zoopla.co.uk//to-rent/details/60220857/,2808,6 bed terraced house to rent,"Rose Cottage, Student Property 2022-2023 Selly Oak, Birmingham B29",Listed on 18th Nov 2021,6.0,2.0,1.0,terraced house,B29
https://www.zoopla.co.uk//to-rent/details/60220841/,520,7 bed property to rent,"Tiverton Road, Birmingham B29",Listed on 18th Nov 2021,7.0,5.0,1.0,property,B29
https://www.zoopla.co.uk//to-rent/details/60220806/,3042,6 bed terraced house to rent,"Teignmouth Road, Student Property Selly Oak, Birmingham B29",Listed on 18th Nov 2021,6.0,2.0,1.0,terraced house,B29
https://www.zoopla.co.uk//to-rent/details/60220743/,2730,6 bed terraced house to rent,"Tiverton Road, Selly Oak, Birmingham B29",Listed on 18th Nov 2021,6.0,2.0,1.0,terraced house,B29
https://www.zoopla.co.uk//to-rent/details/60220668/,600,1 bed flat to rent,"Bond Square, Birmingham B18",Listed on 18th Nov 2021,1.0,1.0,1.0,flat,B18
https://www.zoopla.co.uk//to-rent/details/60220635/,2340,6 bed terraced house to rent,"Katie Road, Selly Oak, Birmingham B29",Listed on 18th Nov 2021,6.0,2.0,1.0,terraced house,B29
https://www.zoopla.co.uk//to-rent/details/60220411/,1450,4 bed property to rent,"Token Rise, Birmingham B42",Listed on 18th Nov 2021,4.0,,,property,B42
https://www.zoopla.co.uk//to-rent/details/60220289/,450,Room to rent,"Court Oak Road, Birmingham B32",Listed on 18th Nov 2021,1.0,1.0,,room,B32
https://www.zoopla.co.uk//to-rent/details/56276329/,575,1 bed flat to rent,"Gravelly Hill North, Erdington, Birmingham B23",Listed on 18th Nov 2021,1.0,1.0,1.0,flat,B23
https://www.zoopla.co.uk//to-rent/details/60219965/,1050,2 bed flat to rent,"Upper Marshall Street, Birmingham B1",Listed on 18th Nov 2021,2.0,2.0,1.0,flat,B1
https://www.zoopla.co.uk//to-rent/details/60219900/,1100,4 bed terraced house to rent,"Brandwood Park Road, Birmingham B14",Listed on 18th Nov 2021,4.0,2.0,2.0,terraced house,B14
https://www.zoopla.co.uk//to-rent/details/53695175/,715,1 bed terraced house to rent,"Green Leigh, Erdington, Birmingham B23",Listed on 18th Nov 2021,1.0,1.0,1.0,terraced house,B23
https://www.zoopla.co.uk//to-rent/details/60219566/,975,3 bed terraced house to rent,"Nethercote Gardens, Shirley, Solihull B90",Listed on 18th Nov 2021,3.0,1.0,1.0,terraced house,B90
https://www.zoopla.co.uk//to-rent/details/60219467/,600,2 bed maisonette to rent,"Bourne Green, Birmingham B32",Listed on 18th Nov 2021,2.0,1.0,1.0,maisonette,B32
https://www.zoopla.co.uk//to-rent/details/49605867/,750,1 bed flat to rent,"Hive, Masshouse Plaza, Birmingham B5",Listed on 18th Nov 2021,1.0,1.0,1.0,flat,B5
https://www.zoopla.co.uk//to-rent/details/60218827/,420,Room to rent,"Clissold Street, Birmingham B18",Listed on 18th Nov 2021,1.0,1.0,,room,B18
https://www.zoopla.co.uk//to-rent/details/60218147/,750,2 bed terraced house to rent,"Spring Grove Gardens, Hockley, Birmingham B18",Listed on 18th Nov 2021,2.0,1.0,1.0,terraced house,B18
https://www.zoopla.co.uk//to-rent/details/60218139/,895,Studio to rent,"New Coventry Road, Birmingham B26",Listed on 18th Nov 2021,,2.0,,studio,B26
https://www.zoopla.co.uk//to-rent/details/60218145/,850,3 bed terraced house to rent,"Madeley Road, Birmingham B11",Listed on 18th Nov 2021,3.0,1.0,,terraced house,B11
https://www.zoopla.co.uk//to-rent/details/39253705/,750,1 bed flat to rent,"Margaret Road, Harborne, Birmingham, West Midlands B17",Listed on 17th Nov 2021,1.0,,,flat,B17
https://www.zoopla.co.uk//to-rent/details/60217149/,510,Room to rent,"Oval Road, Birmingham B24",Listed on 17th Nov 2021,1.0,3.0,,room,B24
https://www.zoopla.co.uk//to-rent/details/56774223/,1000,3 bed property to rent,"Great Barr, Birmingham B43",Listed on 17th Nov 2021,3.0,,,property,B43
https://www.zoopla.co.uk//to-rent/details/60217106/,975,3 bed terraced house to rent,"Linnet Close, Birmingham B30",Listed on 17th Nov 2021,3.0,1.0,,terraced house,B30
https://www.zoopla.co.uk//to-rent/details/60217094/,825,3 bed semi-detached house to rent,"Goosemoor Lane, Birmingham B23",Listed on 17th Nov 2021,3.0,1.0,,semi-detached house,B23
https://www.zoopla.co.uk//to-rent/details/56506177/,795,3 bed property to rent,"Capern Grove, Birmingham B32",Listed on 17th Nov 2021,3.0,1.0,1.0,property,B32
https://www.zoopla.co.uk//to-rent/details/57837590/,775,2 bed flat to rent,"20 Twickenham Drive, Birmingham B13",Listed on 17th Nov 2021,2.0,1.0,1.0,flat,B13
https://www.zoopla.co.uk//to-rent/details/60217041/,750,2 bed property to rent,"Wyndhurst Road, Birmingham B33",Listed on 17th Nov 2021,2.0,1.0,1.0,property,B33
https://www.zoopla.co.uk//to-rent/details/51812294/,800,1 bed flat to rent,"28 Bell Barn Road, Birmingham B15",Listed on 17th Nov 2021,1.0,1.0,1.0,flat,B15
https://www.zoopla.co.uk//to-rent/details/60217056/,750,1 bed property to rent,"Cromer Road, Birmingham B12",Listed on 17th Nov 2021,1.0,1.0,,property,B12
https://www.zoopla.co.uk//to-rent/details/60217052/,900,2 bed flat to rent,"Cromer Road, Birmingham B12",Listed on 17th Nov 2021,2.0,1.0,,flat,B12
https://www.zoopla.co.uk//to-rent/details/60217022/,995,3 bed property to rent,"Addison Road, Birmingham B14",Listed on 17th Nov 2021,3.0,1.0,2.0,property,B14
https://www.zoopla.co.uk//to-rent/details/52278295/,750,1 bed flat to rent,"56 New Coventry Road, Birmingham B26",Listed on 17th Nov 2021,1.0,1.0,1.0,flat,B26
https://www.zoopla.co.uk//to-rent/details/60217007/,1000,2 bed flat to rent,"Orion Building, Birmingham B5",Listed on 17th Nov 2021,2.0,1.0,1.0,flat,B5
https://www.zoopla.co.uk//to-rent/details/55821720/,550,1 bed flat to rent,"30 Ravenhurst Road, Birmingham B17",Listed on 17th Nov 2021,1.0,1.0,1.0,flat,B17
